zcta,aland_sqm
03244,212499158
03245,78748431
03246,51724621
03249,100625167
03251,390069984
03253,100785720
03254,154125047
03255,94956130
03256,97663675
03257,59300785
03258,54765040
03259,61264672
03260,63424045
03261,72807028
03262,147655083
03263,62680867
03264,95237791
03266,265655367
03268,78275127
03269,122851847
03273,15284199
03275,111419883
03276,102090218
03278,160795173
03279,118545902
03280,118390973
03281,152981933
03282,107361672
03284,100593508
03285,129719585
03287,67842632
03290,118574508
03291,471846
03293,4199836
03301,127927353
03303,174940060
03304,72938485
03307,127869240
03431,153771245
03440,93743059
03441,10161715
03442,29432165
03443,28776835
03444,72234688
03445,51822857
03446,110657794
03447,90649232
03448,50452783
03449,77625091
03450,48264049
03451,55377324
03452,99407237
03455,60857039
03456,67239939
03457,59637838
03458,139186999
03461,96179040
03462,50601843
03464,129030482
03465,45777870
03466,39612868
03467,91756658
03470,226269951
03561,131648118
03570,272824619
03574,234620713
03575,72020655
03576,368985666
03579,1422670249
03580,245980314
03581,389573384
03582,221100603
03583,130096497
03584,152967109
03585,209315272
03586,43232936
03588,369659677
03590,272665801
03592,852225111
03593,241959750
03595,95302983
03597,138402705
03598,160049864
03601,49716548
03602,150338741
03603,110356576
03604,1271468
03605,83839462
03607,40200336
03608,87640220
03609,2311260
03740,88837132
03741,199254252
03743,158534074
03745,90409979
03746,18290278
03748,111340986
03750,32460673
03751,7895414
03752,58119030
03753,70349845
03754,99446
03755,93468017
03765,11501499
03766,82244284
03768,139393296
03770,12814434
03771,57122863
03773,239355585
03774,67060167
03777,116959437
03779,103037493
03780,42164705
03781,122504798
03782,54555378
03784,21712443
03785,154662203
03801,61572634
03809,105440021
03810,60297835
03811,28829414
03812,156676323
03813,248864399
03814,81761711
03816,74448493
03817,25273845
03818,221251844
03819,30167510
03820,71862492
03823,27431874
03824,58048555
03825,119575274
03826,7179934
03827,46216911
03830,33364130
03832,64655148
03833,126015009
03835,94923704
03836,90581515
03837,52056478
03838,59536603
03839,21702954
03840,27182070
03841,28395663
03842,33077924
03844,31904130
03845,34450335
03846,167841664
03847,2205980
03848,51228902
03849,64726010
03850,7820667
03851,68395372
03852,17446855
03853,20519127
03854,2094144
03855,107169513
03856,18368999
03857,32752186
03858,25441685
03860,52064727
03861,51785324
03862,35905755
03864,88849834
03865,27446831
03867,76630267
03868,19549374
03869,18367387
03870,31647034
03871,1081946
03872,122873165
03873,34486253
03874,23335342
03875,36058868
03878,25918405
03882,100090018
03883,32878644
03884,125420435
03885,39245815
03886,98754263
03887,52030430
03890,11826933
03894,126996119
03901,97509813
03902,50743691
03903,51264314
03904,29101012
03905,16996787
03906,99067567
03907,10601076
03908,83312127
03909,89099536
03910,896568
03911,900954
04001,93248970
04002,171025110
04003,2695193
04005,124090521
04006,194733
04008,92592057
04009,146868379
04010,115175463
04011,121148032
04015,82292741
04017,9256417
04019,2151748
04020,57434675
04021,53371402
04022,119439966
